,,Tot,Tot
Tm,PF,Ply,Y/P
,,,
Dallas Cowboys,530,1153,6
Tampa Bay Buccaneers,511,1139,6.1
Buffalo Bills,483,1143,5.7
Kansas City Chiefs,480,1134,5.9
Los Angeles Chargers,474,1128,5.9
New England Patriots,462,1052,5.7
Cincinnati Bengals,460,1046,5.9
Los Angeles Rams,460,1058,6
Indianapolis Colts,451,1052,5.6
Green Bay Packers,450,1072,5.8
Arizona Cardinals,449,1126,5.6
Philadelphia Eagles,444,1075,5.7
San Francisco 49ers,427,1046,6.1
Minnesota Vikings,425,1083,5.7
Tennessee Titans,419,1133,5.1
Seattle Seahawks,395,954,5.8
Baltimore Ravens,387,1185,5.4
Las Vegas Raiders,374,1082,5.7
New Orleans Saints,364,1051,4.9
Cleveland Browns,349,1054,5.5
Pittsburgh Steelers,343,1113,4.8
Miami Dolphins,341,1097,4.8
Denver Broncos,335,1036,5.4
Washington Football Team,335,1070,5.1
Detroit Lions,325,1056,5.2
Atlanta Falcons,313,1006,5.1
Chicago Bears,311,1075,4.9
New York Jets,310,1036,5
Carolina Panthers,304,1106,4.6
Houston Texans,280,1010,4.7
New York Giants,258,1050,4.7
Jacksonville Jaguars,253,1028,5
